speed,mileage,lastMaintenanceDaysAgo,previous_delay,congestion,occupancyPercentage,delay_minutes,maintenance_status
91,49876,41,15,5,43,21,Healthy
54,30323,123,16,7,38,30,Healthy
111,26428,7,6,1,58,8,Healthy
100,44578,69,11,3,80,20,Healthy
60,96486,69,33,3,44,45,Minor Issue
114,74140,81,9,2,44,0,Minor Issue
114,93829,30,4,8,46,25,Minor Issue
63,16364,73,20,5,51,35,Healthy
42,45349,6,2,1,30,0,Healthy
61,10691,89,18,2,88,28,Healthy
92,76467,147,44,1,52,27,Minor Issue
41,55896,66,43,6,38,37,Healthy
69,67062,10,34,9,35,42,Healthy
77,89762,144,5,7,30,19,Critical
41,23861,37,13,5,94,30,Healthy
103,98302,77,3,3,93,17,Healthy
99,73928,77,44,8,88,52,Minor Issue
60,93231,32,50,4,74,51,Healthy
72,51347,47,17,9,44,39,Healthy
115,13121,110,28,5,96,32,Healthy
97,93793,171,34,6,53,35,Critical
61,38164,120,51,5,31,50,Minor Issue
88,35491,164,37,7,40,42,Minor Issue
98,69222,154,15,7,48,24,Minor Issue
81,33165,10,19,1,70,15,Healthy
99,13748,159,23,2,42,12,Minor Issue
119,36553,97,34,7,52,35,Healthy
54,70380,157,43,8,27,57,Minor Issue
101,54331,5,50,4,61,39,Healthy
101,49560,77,18,6,96,41,Healthy
86,63865,1,55,3,88,47,Healthy
101,56686,131,3,7,60,18,Healthy
90,85910,67,32,3,93,25,Minor Issue
94,14675,199,1,7,82,17,Healthy
103,76706,163,12,8,33,31,Critical
42,87986,15,57,3,81,44,Healthy
90,86216,195,44,2,94,22,Critical
46,20068,93,29,6,65,32,Healthy
60,64460,30,33,4,86,30,Healthy
112,56418,103,29,8,72,43,Minor Issue
78,36206,82,50,2,71,35,Healthy
57,10287,75,53,4,26,47,Healthy
43,32337,171,23,2,73,19,Healthy
99,30666,60,47,2,30,26,Minor Issue
53,11161,40,43,2,44,40,Healthy
48,48751,193,32,1,78,23,Minor Issue
92,92063,157,40,4,85,38,Critical
41,99389,74,48,2,46,33,Minor Issue
99,24758,121,9,9,77,33,Healthy
110,75780,147,17,9,30,36,Critical
83,13178,3,18,7,74,37,Healthy
47,41831,36,6,6,38,24,Healthy
86,12176,43,56,3,58,40,Healthy
74,43654,143,18,7,89,37,Healthy
117,36627,169,23,1,30,4,Minor Issue
75,62550,115,14,9,33,34,Minor Issue
89,54910,109,40,4,79,38,Minor Issue
43,68251,90,41,6,55,51,Minor Issue
41,45422,164,22,6,60,31,Minor Issue
45,21984,84,51,3,21,37,Healthy
93,99312,77,51,4,76,37,Healthy
43,71386,161,3,3,79,13,Critical
93,93291,5,37,6,39,42,Healthy
102,17135,78,3,1,41,0,Healthy
57,10320,91,4,8,23,26,Healthy
83,31684,87,40,8,75,45,Healthy
73,65913,14,43,9,77,54,Healthy
113,98774,104,22,6,84,23,Minor Issue
101,31889,196,39,1,77,25,Minor Issue
53,58899,83,52,3,49,43,Healthy
87,20770,175,36,1,95,27,Minor Issue
54,49321,54,10,5,38,23,Minor Issue
111,95962,132,54,3,81,41,Critical
117,51777,95,10,2,87,2,Healthy
101,56250,9,12,3,98,13,Healthy
79,83034,53,13,9,63,26,Minor Issue
119,50130,77,59,8,80,57,Healthy
92,91931,60,7,3,40,5,Minor Issue
63,59346,46,24,2,29,17,Healthy
65,12537,54,17,5,49,38,Healthy
99,94762,74,50,1,43,31,Minor Issue
80,25216,112,43,4,67,46,Healthy
68,94149,95,43,8,74,58,Critical
54,13009,165,17,1,71,14,Minor Issue
84,99904,23,9,5,57,20,Minor Issue
104,39327,27,6,4,86,20,Healthy
110,24209,70,59,6,27,49,Healthy
48,58443,194,49,7,48,52,Minor Issue
40,25029,109,43,9,29,63,Minor Issue
47,77613,189,13,1,88,17,Critical
102,89443,77,14,4,94,14,Minor Issue
50,66997,179,15,6,87,32,Minor Issue
47,72559,50,1,7,68,27,Healthy
74,74892,124,29,7,77,40,Minor Issue
74,80409,19,29,8,54,41,Healthy
72,18635,1,17,8,69,35,Healthy
44,43065,40,30,8,59,38,Healthy
80,43783,160,43,8,31,39,Healthy
67,44152,22,47,8,35,49,Healthy
46,68741,112,12,6,97,31,Minor Issue
112,61502,194,19,9,67,31,Minor Issue
111,39092,40,48,3,20,25,Healthy
51,27653,38,49,6,84,52,Healthy
73,50469,48,34,5,41,39,Healthy
72,96483,183,22,8,34,42,Critical
87,69754,75,41,4,86,43,Minor Issue
62,39978,183,32,4,33,25,Minor Issue
101,97592,179,37,5,92,37,Critical
76,53169,107,34,6,38,43,Healthy
83,58287,188,50,4,59,32,Critical
74,64745,8,35,2,23,20,Healthy
104,15543,86,19,2,52,14,Healthy
86,66392,68,54,3,62,31,Healthy
117,31067,75,2,2,56,4,Healthy
42,61033,137,7,1,85,19,Minor Issue
40,55256,90,39,8,46,58,Minor Issue
44,79345,130,58,5,64,53,Minor Issue
53,32191,80,31,1,69,27,Healthy
66,96803,95,28,9,82,41,Minor Issue
48,82742,70,6,8,25,30,Minor Issue
118,96593,90,1,4,86,9,Critical
54,38992,59,20,8,86,42,Healthy
81,91531,147,5,7,78,27,Critical
116,58803,28,27,7,32,34,Healthy
90,73477,72,47,1,40,19,Minor Issue
102,23210,14,41,6,83,38,Healthy
91,93329,24,35,4,56,30,Healthy
43,36270,112,31,2,99,22,Healthy
62,72008,44,44,7,67,52,Healthy
54,15197,56,41,9,75,62,Healthy
82,17452,120,52,5,63,53,Healthy
68,51486,179,45,8,32,51,Minor Issue
75,24859,32,8,5,23,26,Healthy
52,37236,178,10,7,92,34,Minor Issue
71,41899,169,22,7,52,29,Healthy
110,42083,194,49,9,56,55,Minor Issue
98,77708,25,10,3,72,12,Minor Issue
67,26663,116,48,1,43,32,Minor Issue
105,29053,189,1,2,70,5,Healthy
81,21085,66,2,6,60,21,Healthy
84,40564,42,10,9,48,38,Healthy
101,99745,193,49,3,78,35,Critical
96,69095,164,58,2,59,40,Critical
45,79517,76,34,1,70,27,Minor Issue
67,31153,137,57,2,69,41,Healthy
67,15247,164,14,3,55,17,Healthy
83,20553,38,42,7,98,44,Healthy
69,30811,161,10,2,79,12,Healthy
101,16135,170,30,5,37,28,Healthy
114,15573,61,27,2,39,12,Healthy
101,89267,174,27,7,24,26,Critical
40,17189,89,31,8,37,43,Healthy
66,90077,189,24,8,59,39,Critical
101,53646,18,19,8,20,24,Healthy
116,86623,70,27,9,38,33,Minor Issue
42,63687,82,24,1,45,7,Healthy
109,78312,116,10,1,48,4,Minor Issue
111,37564,80,18,2,78,19,Healthy
66,38835,15,27,6,82,38,Healthy
48,71587,176,0,1,81,4,Critical
101,17697,13,58,5,67,41,Healthy
76,90165,119,4,5,81,9,Critical
90,83922,43,9,4,37,13,Healthy
83,27046,188,41,5,85,45,Critical
63,67823,57,45,1,46,24,Healthy
118,83580,199,33,6,25,36,Critical
98,63370,17,35,7,89,41,Healthy
71,19615,178,1,8,78,34,Minor Issue
91,15060,32,17,2,25,6,Healthy
101,86436,150,12,7,50,13,Critical
97,70519,55,50,6,75,51,Minor Issue
91,81117,185,4,9,73,27,Critical
51,71158,13,19,8,60,32,Healthy
78,44782,47,1,4,37,12,Healthy
41,95709,87,10,9,42,33,Critical
42,88533,62,29,1,55,15,Minor Issue
95,68255,182,31,6,44,41,Minor Issue
98,82684,29,31,8,26,38,Healthy
41,66918,22,57,4,39,40,Healthy
41,94284,65,49,2,24,32,Minor Issue
93,89558,29,37,2,37,34,Healthy
40,95549,48,54,1,52,37,Minor Issue
58,91422,5,27,5,98,34,Healthy
41,35256,163,9,6,54,30,Healthy
92,40005,101,21,4,84,23,Minor Issue
83,16638,71,54,4,82,43,Healthy
71,47419,174,16,5,91,25,Minor Issue
109,43377,163,21,5,90,32,Healthy
71,53116,173,42,9,60,56,Minor Issue
107,46634,141,18,8,69,42,Minor Issue
94,92291,138,16,9,49,38,Critical
114,33382,66,23,3,57,26,Healthy
95,66063,198,35,3,54,30,Critical
56,32394,72,31,1,85,23,Healthy
77,77789,25,57,6,65,53,Healthy
63,10864,172,55,4,27,52,Minor Issue
108,50222,60,57,8,87,66,Healthy
109,23666,175,45,2,56,36,Minor Issue
50,30955,40,58,2,32,34,Healthy
55,91845,7,51,7,92,49,Healthy
112,79590,174,35,5,64,29,Critical
98,76471,151,27,1,48,15,Critical
109,98314,46,13,7,60,24,Minor Issue
119,53298,86,57,7,75,54,Healthy
42,73108,141,35,6,35,39,Minor Issue
59,58924,21,5,4,31,5,Healthy
98,26709,1,8,8,85,33,Healthy
75,19726,123,20,2,81,19,Healthy
58,70824,147,11,2,38,18,Critical
106,50542,125,57,2,49,36,Minor Issue
58,30245,188,29,3,35,29,Minor Issue
59,44753,33,30,6,32,32,Healthy
110,89788,4,39,1,88,26,Healthy
91,31316,3,55,2,42,39,Healthy
72,94698,91,3,2,81,12,Minor Issue
79,25960,52,30,1,50,17,Healthy
78,40791,28,26,3,72,27,Healthy
40,35216,70,57,7,36,61,Healthy
50,42467,198,56,1,68,44,Minor Issue
96,74427,183,24,7,68,33,Critical
89,72047,57,4,5,86,14,Minor Issue
62,83290,108,5,9,45,28,Minor Issue
70,57014,144,4,2,32,6,Minor Issue
81,14078,24,50,1,57,31,Healthy
46,88389,197,26,9,41,49,Critical
55,60519,169,7,8,48,35,Minor Issue
99,14042,77,8,6,64,12,Healthy
41,59052,175,14,5,65,25,Critical
40,24389,76,35,8,58,51,Healthy
87,78111,69,56,8,88,67,Minor Issue
51,60733,101,40,5,97,45,Minor Issue
108,44754,159,6,7,87,32,Minor Issue
76,28624,92,31,1,58,23,Healthy
71,95886,92,7,4,39,16,Critical
48,36681,30,46,2,96,38,Healthy
58,99524,18,50,3,87,43,Healthy
87,91006,44,14,1,54,10,Minor Issue
119,34704,155,36,2,27,18,Healthy
42,17493,99,18,1,71,22,Healthy
59,79639,154,38,8,59,55,Minor Issue
63,64383,121,5,4,55,22,Minor Issue
93,12994,115,58,3,25,33,Healthy
72,79280,60,18,1,89,10,Healthy
63,57234,146,56,2,92,45,Healthy
114,57291,56,27,3,35,18,Healthy
111,15594,31,16,3,65,16,Healthy
75,17371,101,41,6,78,40,Healthy
77,57315,59,18,8,57,29,Minor Issue
64,93564,124,30,6,37,37,Minor Issue
57,89526,130,10,2,31,6,Minor Issue
105,26626,97,14,2,73,15,Healthy
93,96005,167,9,7,66,24,Critical
74,17130,189,42,1,20,18,Minor Issue
